Opis przyk³adowy
Value A, Value B, Value C, Constant value
66.09, 350.98, 1267.685, 9283.233
4.1, 118.35, 2551.433, 9283.233
7.0, 337.25, 7898.489, 9283.233
0.0, 128.06, 2086.928, 9283.233
40.05, 941.91, 8816.477, 9283.233
26.0, 554.2, 6984.541, 9283.233
58.15, 516.05, 2482.616, 9283.233
19.52, 164.68, 5647.082, 9283.233
75.4, 603.97, 2099.209, 9283.233
24.83, 790.23, 6944.248, 9283.233
10.31, 936.95, 9520.065, 9283.233
98.79, 212.81, 6672.021, 9283.233
98.62, 979.87, 3631.249, 9283.233
82.34, 159.74, 2050.99, 9283.233
