Tu znajduje sie opis mojich pomiarow
Value A, Value B, Value C, Constant value
46.94, 846.1, 2198.705, 9283.233
80.92, 308.99, 5385.912, 9283.233
71.18, 374.47, 2060.903, 9283.233
87.54, 898.64, 2621.95, 9283.233
82.14, 840.87, 4599.01, 9283.233
27.11, 443.46, 4350.478, 9283.233
23.94, 169.83, 5409.8, 9283.233
11.49, 887.36, 7427.791, 9283.233
86.32, 505.18, 2000.567, 9283.233
38.1, 291.62, 2854.079, 9283.233
55.21, 533.68, 386.866, 9283.233
65.38, 243.07, 5900.949, 9283.233
95.16, 400.07, 3782.667, 9283.233
84.21, 837.64, 7918.692, 9283.233
37.95, 994.63, 5359.516, 9283.233
61.77, 42.76, 692.269, 9283.233
33.34, 858.24, 538.302, 9283.233
8.58, 827.33, 2924.599, 9283.233
89.65, 613.54, 2468.408, 9283.233
98.47, 17.04, 1406.328, 9283.233
8.9, 669.89, 9557.749, 9283.233
55.36, 786.64, 3004.84, 9283.233
59.12, 15.55, 8265.075, 9283.233
15.53, 801.66, 8803.151, 9283.233
86.9, 832.02, 9595.071, 9283.233
83.93, 673.19, 1086.963, 9283.233
91.16, 954.82, 6521.362, 9283.233
22.89, 293.74, 4633.398, 9283.233
99.19, 356.93, 9068.521, 9283.233
17.73, 657.1, 7086.701, 9283.233
85.08, 352.61, 1065.535, 9283.233
95.95, 129.31, 1058.717, 9283.233
67.58, 299.73, 9440.728, 9283.233
95.94, 554.69, 675.972, 9283.233
18.89, 575.83, 6257.681, 9283.233
47.2, 362.41, 1994.799, 9283.233
76.51, 485.16, 3196.114, 9283.233
89.76, 413.64, 9964.778, 9283.233
37.57, 156.77, 8133.295, 9283.233
23.72, 146.03, 1428.248, 9283.233
55.04, 55.29, 2520.481, 9283.233
86.18, 76.55, 742.851, 9283.233
71.1, 95.95, 245.487, 9283.233
76.14, 596.64, 7967.242, 9283.233
14.09, 462.17, 344.162, 9283.233
92.53, 34.39, 9546.69, 9283.233
83.79, 305.18, 8177.967, 9283.233
45.23, 849.41, 1936.331, 9283.233
10.84, 651.04, 2718.352, 9283.233
67.51, 213.44, 6201.237, 9283.233
62.2, 773.82, 9008.322, 9283.233
7.1, 217.06, 5461.456, 9283.233
14.8, 670.92, 7622.2, 9283.233
38.21, 113.74, 1124.322, 9283.233
63.15, 429.11, 7999.913, 9283.233
20.36, 737.69, 575.05, 9283.233
1.65, 7.28, 392.018, 9283.233
92.92, 866.06, 6261.29, 9283.233
14.7, 914.25, 8789.248, 9283.233
11.97, 645.18, 6563.923, 9283.233
84.48, 693.06, 8768.129, 9283.233
73.17, 170.81, 4387.663, 9283.233
76.26, 145.1, 1142.607, 9283.233
21.27, 363.41, 7716.527, 9283.233
43.76, 941.25, 8518.744, 9283.233
11.48, 323.33, 1484.336, 9283.233
56.68, 816.3, 8797.369, 9283.233
87.04, 665.63, 3775.761, 9283.233
31.25, 492.47, 4424.88, 9283.233
63.45, 176.72, 196.871, 9283.233
7.94, 194.62, 6636.619, 9283.233
22.99, 39.3, 777.053, 9283.233
55.27, 910.93, 8994.872, 9283.233
8.97, 214.23, 5089.595, 9283.233
74.56, 972.17, 6362.713, 9283.233
79.67, 573.25, 1524.443, 9283.233
28.4, 528.46, 9463.595, 9283.233
82.93, 725.54, 9355.824, 9283.233
92.11, 60.98, 4286.009, 9283.233
67.87, 961.5, 1900.466, 9283.233
77.47, 657.98, 4024.877, 9283.233
6.05, 475.54, 7936.365, 9283.233
99.76, 77.19, 5247.838, 9283.233
55.44, 394.42, 977.062, 9283.233
75.48, 574.69, 3359.853, 9283.233
57.65, 615.23, 7756.029, 9283.233
54.9, 771.29, 6983.628, 9283.233
2.75, 801.74, 1803.668, 9283.233
59.8, 931.74, 6228.074, 9283.233
52.4, 625.38, 387.684, 9283.233
90.97, 972.75, 2232.491, 9283.233
82.94, 116.74, 8585.52, 9283.233
22.1, 209.12, 5567.795, 9283.233
85.71, 57.15, 9153.079, 9283.233
12.9, 879.69, 8387.754, 9283.233
16.57, 694.59, 3630.046, 9283.233
89.39, 598.84, 9775.378, 9283.233
85.83, 630.16, 6108.294, 9283.233
85.62, 472.33, 6222.154, 9283.233
0.67, 896.94, 7646.005, 9283.233
1.53, 533.03, 6888.627, 9283.233
99.7, 858.86, 8053.252, 9283.233
86.99, 835.6, 768.552, 9283.233
64.93, 624.32, 921.988, 9283.233
10.66, 990.67, 4081.668, 9283.233
40.5, 359.99, 1517.502, 9283.233
57.48, 683.97, 4925.129, 9283.233
77.82, 964.54, 3455.926, 9283.233
81.63, 866.84, 568.962, 9283.233
47.67, 983.03, 4867.088, 9283.233
55.37, 965.17, 8135.211, 9283.233
78.58, 423.39, 6473.923, 9283.233
75.05, 330.98, 3106.515, 9283.233
78.2, 548.89, 6382.899, 9283.233
48.08, 715.11, 6534.04, 9283.233
14.69, 938.1, 366.51, 9283.233
16.26, 763.91, 5694.609, 9283.233
24.82, 621.78, 2941.226, 9283.233
5.5, 386.61, 3418.793, 9283.233
93.21, 686.8, 5342.304, 9283.233
58.36, 776.85, 1181.977, 9283.233
8.7, 793.13, 1530.942, 9283.233
31.57, 362.95, 4183.321, 9283.233
31.86, 716.79, 3246.291, 9283.233
40.56, 68.21, 8406.907, 9283.233
1.02, 460.24, 3537.8, 9283.233
87.11, 571.05, 3167.384, 9283.233
44.38, 388.05, 7171.172, 9283.233
44.58, 150.06, 8953.171, 9283.233
42.71, 11.47, 9708.366, 9283.233
3.87, 81.41, 3074.811, 9283.233
25.84, 20.2, 4297.806, 9283.233
21.1, 81.47, 2661.413, 9283.233
82.21, 317.41, 6073.728, 9283.233
25.26, 476.44, 8725.114, 9283.233
97.07, 243.93, 4164.795, 9283.233
70.62, 256.34, 8632.862, 9283.233
50.95, 915.15, 2767.78, 9283.233
97.32, 948.68, 1230.702, 9283.233
47.44, 100.08, 395.963, 9283.233
39.33, 766.43, 1236.859, 9283.233
96.39, 280.87, 1577.952, 9283.233
23.11, 54.91, 7502.908, 9283.233
13.33, 316.7, 9868.592, 9283.233
20.97, 180.0, 3337.129, 9283.233
94.43, 454.04, 3279.885, 9283.233
51.13, 168.4, 3746.08, 9283.233
57.97, 68.8, 6793.903, 9283.233
12.64, 743.66, 5005.606, 9283.233
57.24, 54.34, 4475.422, 9283.233
82.64, 326.62, 2360.385, 9283.233
96.25, 969.83, 2911.625, 9283.233
10.45, 504.6, 8692.638, 9283.233
78.18, 106.12, 3832.326, 9283.233
12.1, 894.53, 7750.649, 9283.233
28.54, 616.55, 7617.433, 9283.233
49.89, 892.63, 7879.291, 9283.233
67.24, 565.91, 1836.555, 9283.233
72.25, 643.89, 5446.739, 9283.233
9.94, 2.05, 1399.847, 9283.233
13.38, 872.36, 5539.915, 9283.233
47.25, 491.45, 2852.504, 9283.233
99.74, 626.86, 8678.914, 9283.233
50.14, 349.46, 8504.968, 9283.233
75.38, 575.98, 6588.615, 9283.233
41.68, 63.33, 9562.73, 9283.233
3.38, 8.53, 453.743, 9283.233
9.66, 38.71, 5386.04, 9283.233
15.46, 774.24, 1949.008, 9283.233
97.81, 571.13, 5073.937, 9283.233
68.06, 453.34, 9248.375, 9283.233
83.64, 873.56, 5923.344, 9283.233
74.26, 547.3, 4146.721, 9283.233
27.56, 88.98, 8866.017, 9283.233
27.87, 151.0, 9173.051, 9283.233
36.31, 261.07, 3510.419, 9283.233
76.05, 157.21, 4470.623, 9283.233
65.61, 153.61, 1720.704, 9283.233
54.55, 530.07, 1350.624, 9283.233
40.32, 456.59, 1101.747, 9283.233
91.23, 992.07, 6593.527, 9283.233
42.78, 842.94, 8173.151, 9283.233
56.73, 517.8, 7133.621, 9283.233
47.79, 643.26, 8737.611, 9283.233
43.68, 705.31, 2770.732, 9283.233
95.68, 171.57, 9051.117, 9283.233
34.6, 204.82, 7948.408, 9283.233
97.89, 264.36, 3595.13, 9283.233
47.84, 355.37, 4800.831, 9283.233
49.79, 40.59, 6980.592, 9283.233
68.53, 178.68, 7683.667, 9283.233
88.79, 469.24, 3642.872, 9283.233
94.12, 284.79, 526.459, 9283.233
4.92, 23.04, 5222.024, 9283.233
80.88, 402.06, 3198.087, 9283.233
61.51, 791.76, 254.98, 9283.233
20.74, 269.96, 4135.894, 9283.233
27.75, 126.64, 6436.996, 9283.233
11.65, 67.77, 8137.988, 9283.233
48.09, 700.89, 445.803, 9283.233
61.03, 928.36, 6687.831, 9283.233
52.85, 498.79, 6273.308, 9283.233
77.81, 753.5, 7214.601, 9283.233
82.94, 756.29, 5907.777, 9283.233
25.55, 59.78, 8800.698, 9283.233
3.12, 57.97, 8367.144, 9283.233
49.84, 495.53, 5162.048, 9283.233
15.79, 747.68, 5775.565, 9283.233
12.68, 864.06, 6571.537, 9283.233
65.04, 837.28, 9321.336, 9283.233
25.9, 134.34, 6250.088, 9283.233
17.16, 40.74, 3454.216, 9283.233
95.27, 56.11, 8815.352, 9283.233
4.86, 467.32, 877.742, 9283.233
52.99, 634.18, 8065.983, 9283.233
95.74, 588.02, 6547.163, 9283.233
14.94, 95.06, 4979.404, 9283.233
78.58, 149.13, 7454.223, 9283.233
58.92, 407.95, 3190.768, 9283.233
20.06, 901.24, 4999.866, 9283.233
61.39, 23.07, 6457.407, 9283.233
58.98, 242.08, 7705.345, 9283.233
34.71, 841.13, 9584.197, 9283.233
55.67, 115.57, 8652.39, 9283.233
67.19, 200.23, 494.156, 9283.233
28.57, 469.54, 9201.437, 9283.233
26.56, 876.66, 9916.243, 9283.233
51.99, 248.52, 6240.371, 9283.233
4.92, 995.56, 2339.048, 9283.233
73.6, 944.9, 396.88, 9283.233
39.83, 156.45, 865.235, 9283.233
35.2, 997.93, 2624.159, 9283.233
78.45, 505.6, 9910.757, 9283.233
67.81, 1.37, 6851.261, 9283.233
46.09, 671.3, 9349.423, 9283.233
70.39, 934.5, 7126.581, 9283.233
65.98, 157.16, 9370.918, 9283.233
33.42, 870.56, 1146.754, 9283.233
44.92, 396.34, 3563.07, 9283.233
48.78, 167.72, 7932.893, 9283.233
24.97, 714.01, 7155.339, 9283.233
85.32, 744.09, 411.602, 9283.233
31.09, 872.47, 6165.479, 9283.233
29.52, 508.8, 7313.687, 9283.233
41.42, 909.44, 2595.722, 9283.233
79.5, 866.22, 9200.05, 9283.233
28.59, 931.5, 8744.288, 9283.233
98.33, 842.65, 9065.285, 9283.233
64.42, 884.1, 2022.395, 9283.233
87.6, 622.18, 9297.144, 9283.233
16.97, 372.91, 2016.155, 9283.233
61.69, 970.78, 5875.243, 9283.233
19.85, 555.47, 243.389, 9283.233
59.41, 176.21, 5517.538, 9283.233
59.48, 451.14, 709.174, 9283.233
98.4, 4.9, 8827.58, 9283.233
30.14, 948.56, 9421.721, 9283.233
62.65, 565.74, 814.141, 9283.233
55.48, 931.02, 4699.749, 9283.233
64.44, 391.85, 3372.621, 9283.233
39.61, 521.32, 7287.25, 9283.233
1.29, 214.64, 7766.203, 9283.233
25.11, 441.25, 2158.152, 9283.233
37.67, 173.14, 8079.661, 9283.233
46.77, 135.56, 2588.581, 9283.233
55.45, 241.11, 8648.18, 9283.233
72.66, 759.05, 7230.609, 9283.233
89.15, 31.26, 3645.45, 9283.233
26.57, 31.2, 9365.059, 9283.233
2.25, 950.82, 730.754, 9283.233
17.33, 646.42, 8362.134, 9283.233
86.19, 451.13, 2299.769, 9283.233
31.49, 410.67, 2382.182, 9283.233
15.46, 250.57, 6079.88, 9283.233
2.97, 330.26, 9692.792, 9283.233
71.53, 273.91, 7290.048, 9283.233
47.46, 497.46, 5727.164, 9283.233
79.6, 201.74, 7768.094, 9283.233
1.42, 667.62, 3837.651, 9283.233
12.22, 281.73, 1592.707, 9283.233
9.32, 580.76, 6585.361, 9283.233
85.57, 965.62, 6054.71, 9283.233
35.34, 95.6, 9358.726, 9283.233
45.34, 488.49, 5434.911, 9283.233
7.39, 236.43, 7779.372, 9283.233
44.12, 436.18, 3478.725, 9283.233
26.14, 183.7, 6703.215, 9283.233
5.81, 719.56, 3546.618, 9283.233
50.32, 347.61, 8608.782, 9283.233
35.8, 963.23, 854.558, 9283.233
5.94, 32.22, 1414.945, 9283.233
2.96, 504.85, 5827.598, 9283.233
81.53, 558.27, 8453.19, 9283.233
63.2, 434.54, 3256.067, 9283.233
51.54, 518.0, 7934.162, 9283.233
9.12, 789.89, 4117.598, 9283.233
32.78, 944.72, 7283.867, 9283.233
6.17, 394.95, 5414.005, 9283.233
76.75, 994.18, 4255.261, 9283.233
16.08, 240.59, 7255.122, 9283.233
42.92, 646.75, 1012.497, 9283.233
77.18, 204.91, 3290.568, 9283.233
97.27, 686.47, 3680.328, 9283.233
39.17, 539.88, 2053.963, 9283.233
19.72, 591.74, 6445.039, 9283.233
29.88, 407.91, 9278.424, 9283.233
45.56, 710.92, 4880.95, 9283.233
39.57, 308.06, 7810.031, 9283.233
41.26, 867.34, 1376.016, 9283.233
78.57, 574.06, 7853.569, 9283.233
29.83, 401.67, 6759.486, 9283.233
81.71, 381.65, 919.16, 9283.233
41.88, 876.38, 5940.671, 9283.233
54.98, 851.08, 1362.973, 9283.233
17.35, 769.88, 375.874, 9283.233
38.03, 842.11, 7957.738, 9283.233
47.06, 25.84, 8057.84, 9283.233
54.57, 50.47, 8411.18, 9283.233
85.24, 819.69, 3997.725, 9283.233
40.8, 344.02, 6175.346, 9283.233
67.18, 551.3, 1295.08, 9283.233
82.24, 399.24, 7901.106, 9283.233
89.81, 9.96, 2318.918, 9283.233
95.0, 174.84, 9990.125, 9283.233
29.13, 897.35, 9796.664, 9283.233
68.61, 97.3, 3513.99, 9283.233
79.47, 654.18, 8652.084, 9283.233
44.32, 149.85, 9398.879, 9283.233
69.67, 975.07, 513.83, 9283.233
90.48, 930.18, 2762.158, 9283.233
26.36, 431.4, 2890.913, 9283.233
98.32, 443.64, 257.478, 9283.233
73.73, 430.19, 5505.904, 9283.233
84.57, 242.63, 1522.923, 9283.233
58.7, 815.04, 1142.117, 9283.233
44.39, 76.7, 4629.735, 9283.233
26.45, 964.79, 168.678, 9283.233
41.2, 167.7, 1950.256, 9283.233
85.22, 44.23, 9950.958, 9283.233
37.55, 750.48, 604.894, 9283.233
59.41, 846.21, 8681.942, 9283.233
8.31, 496.53, 3094.186, 9283.233
58.1, 992.41, 4398.374, 9283.233
85.88, 834.09, 1465.928, 9283.233
39.52, 732.13, 733.138, 9283.233
26.42, 716.48, 4390.612, 9283.233
99.11, 891.14, 6737.654, 9283.233
74.26, 943.98, 8081.334, 9283.233
39.18, 679.38, 5554.909, 9283.233
21.83, 644.57, 8010.264, 9283.233
60.04, 334.92, 8853.513, 9283.233
94.19, 773.07, 677.277, 9283.233
48.07, 140.27, 6337.628, 9283.233
29.05, 496.14, 239.949, 9283.233
94.3, 80.81, 9161.147, 9283.233
46.41, 336.15, 9496.761, 9283.233
91.55, 951.57, 4827.49, 9283.233
19.71, 820.07, 6852.522, 9283.233
91.33, 396.51, 3545.016, 9283.233
30.78, 399.91, 7523.579, 9283.233
4.65, 316.72, 1355.779, 9283.233
11.1, 24.84, 1707.673, 9283.233
14.42, 787.9, 4812.475, 9283.233
90.68, 422.81, 9420.072, 9283.233
75.39, 785.67, 5735.427, 9283.233
32.35, 62.1, 6049.384, 9283.233
55.64, 331.24, 957.826, 9283.233
5.68, 618.45, 8689.387, 9283.233
78.38, 917.95, 8140.323, 9283.233
32.97, 226.34, 8319.928, 9283.233
98.73, 775.96, 7150.033, 9283.233
67.41, 694.18, 5692.007, 9283.233
65.73, 737.88, 3711.156, 9283.233
34.86, 244.94, 9136.534, 9283.233
99.44, 460.21, 5762.017, 9283.233
89.42, 980.27, 8434.872, 9283.233
39.71, 602.46, 9350.36, 9283.233
24.25, 49.12, 9392.316, 9283.233
15.1, 988.42, 1475.506, 9283.233
30.94, 40.94, 2059.39, 9283.233
71.47, 971.07, 2164.511, 9283.233
3.17, 158.99, 3981.296, 9283.233
37.42, 600.93, 8826.441, 9283.233
34.61, 88.46, 5525.239, 9283.233
26.24, 640.05, 6046.674, 9283.233
88.29, 158.75, 9430.26, 9283.233
48.38, 637.65, 2840.07, 9283.233
37.75, 986.06, 7193.936, 9283.233
59.03, 294.37, 9975.36, 9283.233
29.91, 783.33, 4539.525, 9283.233
85.88, 0.68, 3500.322, 9283.233
